Nome do destaque,tipo de destaque,mega trend associada,micro trend associada #1,micro trend associada #2,Descrição,Link #1,Link #2,Images,Videos,Previous work in SONAE,Previous work in SONAE link,How to approach?,NOTAS/comentários.,,threat_categories
Food Production Robots,Trend Enabling Technology,Informed People,Liquid Expectations,,Robots can be applied to a variety of food production systems to improve performance. ,https://food.ndtv.com/food-drinks/robots-used-for-packaging-processing-fruits-and-veggies-1208177,https://www.iflscience.com/technology/robot-chef-home-could-arrive-2017/,http://blog.wikipme.fr/wp-content/uploads/2017/10/Bruno_2__1_.0.jpg,https://youtu.be/hXSeK5T2yII,,,"STUDY this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,22,vocabulary_ich_1263
Out-of-Stock Detection,Trend Enabling Technology,Informed People,Liquid Expectations,,"Artificial vision promises real time analysis of video footage to monitor, control and report any visible situation with minimal-to-none human intervention. By analyzing images collected in the stores it would be possible to identify out-of-stock items, low stock items, misplaced items, and pricing and planogram errors.  ",https://www.rw3.com/image-recognition-at-the-shelf-the-solution-to-solve-on-shelf-availability/,https://www.traxretail.com/,http://ww1.prweb.com/prfiles/2018/05/29/15517832/image%20recognition%20technology.png,,A study of several technologies from multiple partners has been done during 2018. The economic viability is not proved with the current data. Technical alternative are being explored based on low-cost sensors.,,"EXPERIMENT this technology building on the previous work exploring its viability and feasibility to tackle actual challenges, experimenting in the field and measuring the benefits to the business.",,22,vocabulary_ich_1263
Virtual Try-On Tools,Trend Enabling Partner,Informed People,Try Before You Buy,,"It is possible to virtually try-on beauty products that can go from makeup to glasses. Just select the wanted color and the reference, point the camera and choose which is perfect for you.",https://www.eyeconic.com/help-me/virtual-try-on,https://mashable.com/2017/06/22/meitu-makeup-counter/?europe=true#DiO2DQUfVkqE,https://mondrian.mashable.com/uploads%252Fcard%252Fimage%252F515633%252F0666c36e-fbc2-462f-966e-8a018f2068c4.jpg%252Ffit-in__1200x9600.jpg,,,,,https://www.cosmeticsdesign-europe.com/Article/2018/05/25/8-leading-augmented-reality-innovations-for-beauty-L-Oreal-s-latest-efforts,20,vocabulary_ich_1263
Home Try-On of Goods,Real Trend Implementation,Informed People,Try Before You Buy,,"Warby Parker, is an American online retailer of prescription glasses and sunglasses. The ""Home-Try-On program"" allows customers to choose five frames from the website, which they receive to try on at home for five days, free of charge. Customers can also upload a photo and try on frames virtually.",www.warbyparker.com,,https://www.growthmarketingpro.com/wp-content/uploads/2017/07/warby-parker-ecommerce.png,,,,,,20,vocabulary_ich_1263
Autonomous Stores,Trend Enabling Technology,Seamlessness/Ease,A-Commerce,Quicker Frequent Shopping,"Sensei and Trigon Vision are startups that aim to challenge the Amazon Go concept in other retainers. They use comouter vision to recognize what each product looks like when it goes into a customer’s hand or shopping basket, providing a scalable, seamless store-wide solution that empowers the stores of the future to be check-out and cash free.",https://www.prnewswire.com/news-releases/israel-s-shufersal-the-first-supermarket-chain-to-offer-customers-amazon-go-experience-with-trigo-vision-872123282.html,https://www.sensei.tech/,https://www.sensei.tech/wp-content/uploads/tech-dragger2.jpg,,SONAE is approaching both companies (Sensei and Trigo Vision) to explore the possibility of test the staff less store concept with our customers.,,"EXPERIMENT this technology building on the previous work exploring its viability and feasibility to tackle actual challenges, experimenting in the field and measuring the benefits to the business.",https://www.fastcompany.com/90200376/amazon-gos-auto-checkout-challengers-are-piling-up-meet-one-of-the-most-ambitious,17,vocabulary_ich_1269
Virtual Assistants,Real Trend Implementation,Seamlessness/Ease,Instant Written Customer Service,,"Claire is an AI-powered assistant that ""oversees all the admin of corporate travel, booking flihgts, filing expenses and assisting employees in transit"".",https://www.30secondstofly.com/,,https://images.pexels.com/photos/731217/pexels-photo-731217.jpeg,,,,,,18,vocabulary_ich_1269
Automatic Recommendations,Trend Enabling Technology,Seamlessness/Ease,Too Much Choice/ Simplification,,"Machine learning and optimization algorithms can look for and exploit observed patterns, correlations, and relationships among data elements of customer’s purchases. 
In this way, automatic suggestion of discounts based on previous and continuous purchases. ",https://shelf.ai/,,http://linktoleaders.com/wp-content/uploads/2018/01/shutterstock_683493121.jpg,,Smart continent APP has recommendation functionalities based in purchase history. Use other data to improve recommendation accuracy can be explored as next step.,,"STUDY this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,25,vocabulary_ich_1269
Reusable Container Program,Real Trend Implementation,Sustainability,Bulk Foods,,The Bulk Nation USA launched a program to encourage customers to bring their own containers to be filled with the products being sold in bulk at their stores. Hygiene and food safety concerns are covered in the program as well as the process to tare the containers before filling.,,,,,,,,,26,vocabulary_ich_1286
Agrivoltaics,Trend Enabling Technology,Sustainability,Renewable Charged Future,,"A way of combining renewable energy with agriculture in a hot, arid landscape, positioning elevated solar panels over an understory of plants.",https://www.wired.co.uk/article/energy-agrivoltaic-farms,http://www.agrophotovoltaik.de/,https://sunagri.fr/wp-content/uploads/2017/04/Arboriculture-vue-1-Modif-5-06-2017-e1496999309325-1120x340.jpg,,,,Keep VIGILANT WATCH over this technology checking up its maturity following the involved players.,,12,vocabulary_ich_1286
Solar Energy with storage,Trend Enabling Technology,Sustainability,Renewable Charged Future,,"SmartFlower: All-in-one solar module that includes a sun tracker and storage capacity capable of enabling off the grid buildings
Tesla solar and Powerpack systems can be used by commercial organizations to achieve greater control, reliability and security. Powerpack integrates seamlessly with solar to shave peak energy usage, lower demand charges and generate new revenue streams from grid services and demand response programs.",https://news.energysage.com/tesla-solar-panel-roof-the-next-solar-shingles/,http://smartflowersolar.com/,"https://www.elitereaders.com/wp-content/uploads/2017/02/Smartflower-main.jpg,https://www.tesla.com/sites/default/files/images/energy/solarroof-smooth-glass.jpg,http://www.fotovoltaicosulweb.it/immagini/upload/guida/girasole.jpg",https://youtu.be/vZuQOUA9rLk,,,"STUDY this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,25,vocabulary_ich_1286
Transparent Solar Panels,Trend Enabling Technology,Sustainability,Renewable Charged Future,,"SmartWindow controls inside systems, such as ventilation and sun blinds, based on information about the outside conditions around the building. Simultaneously these systems are powered by patented integrated solar technology, making energy consumption go down, while the sustainable electricity production of the building goes up.",https://news.energysage.com/solar-panel-windows-solar-blinds/,https://www.sustainability-times.com/green-consumerism/delivering-on-design-that-brings-solar-energy-home/,"https://images.pexels.com/photos/432185/pexels-photo-432185.jpeg,https://wp.physee.eu/wp-content/uploads/2018/08/Home-e1534845282140.jpg",,,,Keep VIGILANT WATCH over this technology checking up its maturity following the involved players.,,24,vocabulary_ich_1286
Hydrosoluble Packaging,Trend Enabling Technology,Sustainability,War On Plastic,,"PVOH (Polyvinyl alcohol) is a synthetic polymer that degrades when is in contact with water and do not contaminate. It has no odor and is not toxic, and is resistant to grease, oils, and solvents. It is ductile but strong, flexible, and functions as a high oxygen and aroma barrier. It can be used to do plastic bags or other packagings.",https://www.noticiasmagazine.pt/2018/sacos-plastico-amigos-do-planeta-sim-ja-existem/ ,http://solubag.cl/,http://cdn-cv.r4you.co/wp-content/uploads/2018/07/imagenPrincipal-499-800x400.jpg,https://www.youtube.com/watch?v=y-fIAhAWWrY,A study is under development to explore the possibility of using this material in bags for groceries or dry products sold in bulk (e.g. fruits and vegetables).,,"STUDY this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,22,vocabulary_ich_1286
Food Sharing,Real Trend Implementation,Sustainability,Zero Waste,,"OLIO connects neighbours with each other and with local shops so surplus food and other items can be shared, not thrown away.
If you love food, hate waste, care about the environment or want to connect with your community, OLIO is for you.",https://olioex.com/,,https://s-media-cache-ak0.pinimg.com/originals/73/2f/68/732f682e1afd4bf599d8f391b9481d2e.png,,,,,,12,vocabulary_ich_1286
Waste Based Bioplastic,Trend Enabling Technology,Sustainability,Zero Waste,War On Plastic,"polyhydroxyalkanoates (PHA) are polyesters produced in nature by numerous microorganisms, including through bacterial fermentation of sugar or lipids. PHA have active properties and act as a passive barrier to reduce food waste by prolonging food shelf life. PHA can be produced using food industry by-products, such as cheese whey and almond shells, which assure the biodegradability and recyclability, and reduce food waste.",https://www.ypack.eu/,,"https://www.kunststoffe.de/en/_storage/asset/4825988/storage/chv-zoom/file/34841439/16731297.jpg,https://www.organicgardener.com.au/sites/default/files/styles/620x/public/images/blogs/Unknown-1_0.png,https://www.eufic.org/images/uploads/food-safety/_euthumb/YPACK-green.png",,The Y-pack funded project is under development to experiment 2 PHA based packages for fresh fuit: a fully renewable flow pack film and fully compostable tray.,,"EXPERIMENT this technology building on the previous work exploring its viability and feasibility to tackle actual challenges, experimenting in the field and measuring the benefits to the business.",,22,vocabulary_ich_1286
Meyash,Real Trend Implementation,Seamlessness/Ease,Too Much Choice/ Simplification,,"Meyash is a socially responsible sock subscription service, dedicated to celebrating the way people dress up their feet.",https://www.meyash.co/,,https://images.pexels.com/photos/6805/fashion-men-vintage-colorful.jpg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,6,vocabulary_ich_1269
Museum of Ice Cream,Real Trend Implementation,Experiences,Storytelling,,"The “Museum of Ice Cream”  for instance is not actually a museum, but an extended Instagram backdrop. This installation, with a permanent location in San Francisco and a travelling exhibit that appeared in New York, Los Angeles and Miami, has lines around the block. Folks pay $38 to get in and take their Instagram pics in ice cream-themed settings.",https://www.museumoficecream.com/,,https://images.pexels.com/photos/1294943/pexels-photo-1294943.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,19,vocabulary_ich_1287
Meat Free Monday,Real Trend Implementation,Hiper Personalization,Flexitarianism,,"Launched by Paul, Mary and Stella McCartney in 2009, Meat Free Monday is a not-for-profit campaign which aims to raise awareness of the detrimental environmental impact of eating meat, and to encourage people to help slow climate change, conserve precious natural resources and improve their health by having at least one meat free day each week.",https://www.meatfreemondays.com/,,https://images.pexels.com/photos/1389103/pexels-photo-1389103.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,16,vocabulary_ich_1267
Bandersnatch,Real Trend Implementation,Hiper Personalization,Non-Linear Interactive Video Content,,"There are 5 main endings to Black Mirror: Bandersnatch, Netflix's first adult-oriented live-action interactive experience. Each type of ending will depend on the user's choices throughout the movie.",https://www.netflix.com/pt-en/title/80988062,,https://techcrunch.com/wp-content/uploads/2019/01/Black-Mirror-Bandersnatch-11.jpg?w=730&crop=1,,,,,,12,vocabulary_ich_1267
Sweat Coin,Real Trend Implementation,Continuous Connection,Instant Gratification,,"Sweatcoin is digital currency you earn by being active. To accumulate it, you first need to download the Sweatcoin app and keep it running on your phone at all times. Any time you walk or run outside, it tracks your steps and pays you in sweatcoins (SWC). For every 1,000 steps you take, you earn just under 1 SWC.",https://sweatco.in/,,https://images.pexels.com/photos/1466852/pexels-photo-1466852.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,10,vocabulary_ich_1268
5 a Day,Real Trend Implementation,Corporate Responsibility,Food Transparency,,"""5 a day is any of various national campaigns in countries such as the United States, the United Kingdom, France, and Germany, to ecourage the consumption of at least five portions of fruit and vegetables""; Tesco has made it visual in all of it's compliant products",https://www.nhs.uk/live-well/eat-well/5-a-day-what-counts/,,https://images.pexels.com/photos/1132047/pexels-photo-1132047.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,7,vocabulary_ich_1284
Boxed,Real Trend Implementation,Informed People,Liquid Expectations,,"""Boxed, the bulk-shopping ecommerce retailer geared toward “updating the Costco experience for Millennials,” is implementing in its Dallas fulfillment center its autonomously guided vehicle (AGV), a lightweight, transportable alternative to larger-scale conveyor-belt systems.""",https://www.boxed.com/,,https://progressivegrocer.com/_flysystem/s3/styles/content_sm/s3/2018-06/Boxed.jpg?itok=l-eCvInG,,,,,,5,vocabulary_ich_1263
Shopping Cart Tracker,Real Trend Implementation,Authenticity/Disconnection,Authentic People,,"""Walmart filed a patent application for a shopping cart that would track your stress levels as you're shopping and alert employees if you're internally freaking out""",https://www.businessinsider.com/walmart-patent-shopping-cart-that-tracks-stress-levels-2018-9,,https://images.pexels.com/photos/1526709/pexels-photo-1526709.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,21,vocabulary_ich_1265
